Location,ENG_LABEL,HR_UID,HRPOP,amenity_dense,prox_idx_emp_med,prox_idx_pharma_med,prox_idx_childcare_med,prox_idx_health_med,prox_idx_grocery_med,prox_idx_educpri_med,prox_idx_educsec_med,prox_idx_lib_med,prox_idx_parks_med,prox_idx_transit_med,prox_idx_emp_wt,prox_idx_pharma_wt,prox_idx_childcare_wt,prox_idx_health_wt,prox_idx_grocery_wt,prox_idx_educpri_wt,prox_idx_educsec_wt,prox_idx_lib_wt,prox_idx_parks_wt,prox_idx_transit_wt,FEMALE_prop,MALE_prop,TRANSGENDER_prop,UNKNOWN_prop,OTHER_prop,CONTACT_prop,NEITHER_prop,TRAVEL-RELATED_prop,NOT-RESOLVED_prop,RESOLVED_prop,FATAL_prop,TOTAL_prop
York Regional Health Unit,York Regional Health Unit,3570.0,1131052.0,0.07674576271186441,0.0337,0.0347,0.028,0.0082,0.0322,0.0945,0.04975,0.0666,0.0608,0.0056,0.045525637724879185,0.036469635701983784,0.03141607017184002,0.012139458398022357,0.024277255776038648,0.09032955363679114,0.022554110421094658,0.014949358208110665,0.08590791829199658,0.007746143590215112,0.0007621223427393259,0.0005817592825086733,0.0,2.6523979445684196e-06,0.0,0.00029087964125433665,0.0006356913740482312,0.0001281992339874736,0.0003059098962735577,0.0009513267294518731,8.92973974671368e-05,0.0013465340231925676
City of Toronto Health Unit,City of Toronto Health Unit,3595.0,2694831.0,0.6615026489003051,0.0939,0.0494,0.0657,0.0222,0.0663,0.16444999999999999,0.0729,0.0934,0.0732,0.0348,0.14778884041336962,0.08929541841399327,0.08815536087420689,0.054204579916143115,0.09153439788988599,0.19878848899986654,0.07267577176453735,0.08240141853051319,0.1013933883794565,0.04649245195709871,0.0010293780945818123,0.0007985658469863231,0.0,4.1932128582460276e-05,7.421615678311553e-07,0.0002716311338262028,0.0006445673216613583,7.79269646222713e-05,0.0005350984904062629,0.0012082390324291209,0.00012728070888304313,0.0018706182317184269
Halton Regional Health Unit,Halton Regional Health Unit,3536.0,561949.0,0.10638814670876852,0.0307,0.0306,0.03665,0.0099,0.0341,0.088,0.0495,0.0641,0.0678,0.0054,0.0290928763998157,0.0298246645158191,0.047499501556190996,0.0117820780889369,0.019113576498934953,0.08780925386467457,0.026447890466928484,0.020369734620045578,0.06848145009600518,0.005713159201279839,0.0004804706476922283,0.00033454993246718117,0.0,0.0,0.0,0.00023489676109397827,0.00037725843448426817,0.00014058215247291124,0.00011566885962961051,0.0006602022603474692,3.9149460182329716e-05,0.0008150205801594095
City of Ottawa Health Unit,City of Ottawa Health Unit,3551.0,936763.0,0.20623530867252257,0.0243,0.0264,0.0892,0.0072,0.0447,0.1168,0.0586,0.0714,0.0673,0.0146,0.046101613321619175,0.02914933958749445,0.09671393714311956,0.018626631495906605,0.03691267257566752,0.11563723641945742,0.035038220766618645,0.027586906079766164,0.07495469964121143,0.019415379450298524,0.000841194624467448,0.0006191534037958374,0.0,4.270023474454051e-06,0.0,0.00035868197185414026,0.0003181167488468268,0.0,0.0005946007688177265,0.0007888868369053858,8.113044601462697e-05,0.0014646180517377395
Peel Regional Health Unit,Peel Regional Health Unit,3553.0,1388271.0,0.184901695932763,0.0496,0.0309,0.0353,0.0076,0.0365,0.10875,0.0515,0.0659,0.0613,0.0032,0.055642329055350055,0.04462195133370942,0.04043037576957241,0.011654598201647942,0.03553725843153101,0.11699104483202478,0.029099928184050487,0.025556099277446575,0.06754160081136916,0.008092969672347815,0.0009212898634344448,0.0007534551971481073,0.0,1.5847050035619846e-05,0.0,5.978659786165669e-05,0.00040193881453981246,4.970211147535316e-05,0.0006093911059151996,0.0009990844727002148,8.211653200275738e-05,0.0016905921106181718
Waterloo Health Unit,Waterloo Health Unit,3565.0,534525.0,0.14413793103448275,0.0282,0.0221,0.04355,0.0045,0.0374,0.0959,0.0481,0.0778,0.0607,0.0076,0.03167684055937508,0.019607258594078827,0.050348276133015346,0.01252618044057808,0.020481581965296244,0.09094382751040632,0.01696591160376036,0.020970474907628288,0.07294854104111125,0.008013764183153263,0.0008269023899724054,0.0004677049717038492,1.8708198868153968e-06,1.8708198868153968e-06,0.0,0.00026191478415415554,0.0005013797296665263,7.857443524624667e-05,0.0004078387353257565,0.0008063233712174361,8.418689490669285e-05,0.0012983490014498854
Huron County Health Unit,Huron County Health Unit,3539.0,61222.0,0.0,0.0009,0.02525,0.03095,0.0060999999999999995,0.038,0.076,0.058249999999999996,0.0934,0.0349,,0.0025309137238247624,0.008094564045604536,0.009258199666786445,0.0058664352683675805,0.00994506059913103,0.03038575838750775,0.015674706804743394,0.04558172552350464,0.01886940642252786,0.0,0.000506353925059619,0.000228675966155957,0.0,0.0,0.0,0.0003593479468165039,0.0001960079709908203,0.00013067198066054686,9.800398549541015e-05,0.0005553559178073242,8.166998791284179e-05,0.0007350298912155761
Perth District Health Unit,Perth District Health Unit,3554.0,77366.0,0.0,0.0052,0.0228,0.0244,0.0112,0.0341,0.0885,0.051449999999999996,0.0814,0.0505,,0.008145395910348217,0.01180905048729417,0.01727064343510067,0.010098929762427931,0.013437489336401013,0.06299308740273502,0.016695410128480213,0.035102741514360325,0.03501822376754651,0.0,0.00040069281079543987,0.00018095804358503735,0.0,0.0,0.0,0.00028436263991934443,0.0001551068945014606,0.00010340459633430706,7.75534472507303e-05,0.00043946953442080503,6.462787270894191e-05,0.0005816508543804772
Durham Regional Health Unit,Durham Regional Health Unit,3530.0,655838.0,0.12528430629264595,0.0257,0.0193,0.0316,0.0075,0.0359,0.0882,0.05,0.0693,0.04005,0.005,0.027631817461019344,0.016960202519524615,0.034446598245298304,0.01144195167099192,0.019222913737843784,0.0835279851121769,0.016126729466728076,0.018961665685733372,0.04048959056962239,0.005668401952921279,0.0009529792418249629,0.0005153711739789399,0.0,0.0,0.0,0.0003186762584662676,0.00102769281438404,6.708973862447738e-05,0.00043760806784602294,0.0008645427681836063,0.00016619957977427352,0.0014683504158039028
Thunder Bay District Health Unit,Thunder Bay District Health Unit,3562.0,149563.0,0.08517241379310345,0.0097,0.016,0.0153,0.0058,0.0363,0.1083,0.0526,0.0778,0.0302,0.0088,0.011439060462815006,0.009836642752552438,0.012425264938520898,0.007833480874280402,0.016813185079197396,0.07552279574493691,0.023349057587772396,0.02358529515989917,0.020781678623723765,0.005897960725580524,0.00020727051476635263,0.0002741319711425954,0.0,1.3372291275248558e-05,0.0,0.00018721207785347982,0.00022732895167922547,6.017531073861851e-05,0.00011366447583961274,0.00037442415570695963,6.686145637624279e-06,0.0004947747771841966
Peterborough County - City Health Unit,Peterborough County - City Health Unit,3555.0,130640.0,0.04736063147508633,0.0036,0.02735,0.0336,0.0039,0.0354,0.0678,0.0554,0.0824,0.0405,0.0001,0.012014320269442725,0.02003923224127374,0.02380843080220452,0.010644077617881201,0.014291171922841399,0.05303290646050216,0.017935200551132888,0.022229190140845075,0.02811354332516839,7.445652173913046e-06,0.00039038579301898347,0.0002679118187385181,0.0,0.0,0.0,0.00015309246785058175,0.00021432945499081445,0.00021432945499081445,0.00018371096142069811,0.00045162278015921614,2.2963870177587264e-05,0.0006582976117575015
Middlesex-London Health Unit,Middlesex-London Health Unit,3544.0,454355.0,0.10357403355215171,0.024,0.0201,0.0241,0.0058,0.0343,0.0765,0.0515,0.0749,0.034,0.0069,0.03136336344928516,0.016041485402383596,0.025895045944250683,0.011476814385227435,0.01741872566605411,0.06136919237160368,0.01786060019148022,0.02405689912073161,0.03158373584531918,0.00772496836174357,0.000550230546599025,0.00035654939419616817,2.2009221863961e-06,0.0,0.0,1.54064553047727e-05,1.54064553047727e-05,4.84202881007142e-05,0.00020468576333483728,0.0006272628231228885,7.70322765238635e-05,0.0009089808629815893
Wellington-Dufferin-Guelph Health Unit,Wellington-Dufferin-Guelph Health Unit,3566.0,267523.0,0.10728092783505154,0.008,0.0208,0.0328,0.0045,0.0414,0.0861,0.0537,0.0796,0.046,0.0044,0.016171023426023213,0.014333349655917444,0.03166925273714782,0.011691118520650566,0.015417028816213943,0.07014013337171016,0.01786415298871498,0.03518675926929651,0.042305646243500514,0.003437857305726988,0.0006242453919849882,0.0004111795995110701,0.0,0.0,0.0,0.0004709875412581348,0.00039248961771511234,7.475992718383093e-05,0.0003663236432007715,0.0005943414211114558,7.475992718383093e-05,0.0010354249914960583
Windsor-Essex County Health Unit,Windsor-Essex County Health Unit,3568.0,397008.0,0.07836772548110364,0.016,0.02425,0.0129,0.0052,0.0443,0.0785,0.052,0.0753,0.0313,0.0067,0.017971630546487698,0.019956565862652636,0.010336390198686197,0.009846710897513437,0.023670512181114746,0.061615549056945905,0.02103572043888284,0.028795761546366823,0.026321525510820957,0.006312909311651153,0.0008815943255551526,0.0006020029823076613,0.0,0.0,0.0,0.00047354209486962477,0.0004508725264982066,0.00028714786603796397,0.0002972232297585943,0.001062950872526498,0.00012342320557772135,0.001483597307862814
Northwestern Health Unit,Northwestern Health Unit,3549.0,74026.0,0.0,0.0014,0.0169,0.015,0.0029,0.0525,0.0617,0.0607,0.0876,0.02135,,0.002379319428308975,0.004883703023262096,0.005743507686488537,0.004054255261664819,0.011932090076459623,0.02916917704590278,0.011543641423283714,0.02598558614540836,0.00502857374436009,0.0,5.4035068759624995e-05,0.00014859643908896874,0.0,0.0,0.0,4.0526301569718746e-05,4.0526301569718746e-05,0.00012157890470915624,0.0,0.00020263150784859374,0.0,0.00020263150784859374
Chatham-Kent Health Unit,Chatham-Kent Health Unit,3540.0,103551.0,0.0,0.0015,0.0215,0.0133,0.0032,0.03175,0.0744,0.0523,0.096,0.0376,,0.008092294618110858,0.010650841614277025,0.009646618574422266,0.009506415196376666,0.010670334424583061,0.054238432270089135,0.017658385722977076,0.030191567440198536,0.02440895887050828,0.0,0.0002317698525364313,0.0005697675541520604,0.0,0.0,0.0,0.00048285385945089857,0.00012554200345723363,6.75995403231258e-05,0.00043456847350580876,0.00035731185599366497,9.657077189017972e-06,0.0008015374066884916
City of Hamilton Health Unit,City of Hamilton Health Unit,3537.0,534386.0,0.2733812949640288,0.0404,0.0316,0.0383,0.0093,0.0477,0.1225,0.0548,0.0707,0.0555,0.0156,0.03996977128891868,0.03327999610768238,0.03754275355267536,0.024505192501300517,0.03574779653658592,0.10407388479488576,0.03125168043324484,0.0319267200113775,0.06174941334540939,0.01878161609772712,0.0004771831597384662,0.0003181221064923108,0.0,0.0,0.0,0.00040045959287855596,0.0002526263786850703,0.00011040708401791963,0.00017403150531638178,0.0005838476307388292,3.7426130175565975e-05,0.000795305266230777
Elgin-St. Thomas Health Unit,Elgin-St. Thomas Health Unit,3531.0,91348.0,0.0,0.0023,0.02685,0.0122,0.0039,0.0337,0.0569,0.05175,0.0824,0.026,,0.007603170293821434,0.009054798134606122,0.009582090467224243,0.0074560636248193705,0.006616298112711829,0.02710580527214608,0.016676089241143763,0.015765474887244387,0.012064119630424312,0.0,0.0003503087095502912,0.000273678679336165,0.0,0.0,0.0,0.000383150151070631,0.000109471471734466,0.0001313657660813592,0.000109471471734466,0.00047072732845820377,4.37885886937864e-05,0.0006239873888864562
Oxford County Health Unit,Oxford County Health Unit,3552.0,108953.0,0.0,0.0051,0.024,0.0267,0.0055,0.0337,0.0707,0.0709,0.1031,0.030350000000000002,,0.007220075628940925,0.013797821078813813,0.021382095031802703,0.007222495938615739,0.011606647820619905,0.05345703468468048,0.023219002689232972,0.03393549879305759,0.02341578295228219,0.0,0.0002937046249300157,0.00022945673822657477,0.0,0.0,0.0,0.0003212394335172047,9.17826952906299e-05,0.00011013923434875588,9.17826952906299e-05,0.0003946655897497086,3.6713078116251964e-05,0.0005231613631565905
Niagara Regional Area Health Unit,Niagara Regional Area Health Unit,3546.0,444486.0,0.09482758620689655,0.0109,0.0175,0.0216,0.0041,0.035,0.0766,0.0481,0.0693,0.0371,0.0044,0.015403410006164422,0.012914514067934648,0.022253972003617686,0.008059210413826321,0.01519180379134551,0.06692367656124155,0.017031409988166102,0.02095267252511893,0.03317406015037593,0.00523573453382109,0.000663687945177126,0.00042746003248696245,0.0,0.0,0.0,0.00028122370558352795,0.0006074432040604203,0.0001732338026394532,0.0002092304369541448,0.0007829267963445418,9.899074436540184e-05,0.0010911479776640884
Simcoe Muskoka District Health Unit,Simcoe Muskoka District Health Unit,3560.0,537217.0,0.028243847874720358,0.0041,0.0208,0.024149999999999998,0.0026,0.0381,0.0716,0.0495,0.0834,0.02975,0.0043,0.010703972696321954,0.010984203217694163,0.019820250476064612,0.006698202216236635,0.011148431639356152,0.04738092484042773,0.013449125027689007,0.019004430797982926,0.021504708525605116,0.001991435304541741,0.0002866625590776167,0.00023454209379077727,0.0,0.0,0.0,0.00014146983434999266,0.0002736324427559068,9.121081425196894e-05,0.0001284397180282828,0.00036484325700787576,2.792167783223539e-05,0.0005212046528683939
Lambton Health Unit,Lambton Health Unit,3542.0,125652.0,0.0,0.0018,0.019,0.0121,0.0042,0.0315,0.0762,0.0554,0.09409999999999999,0.0315,,0.01032594626428543,0.013768981790978255,0.011740736319358226,0.01742538200744912,0.009958114474898931,0.05071167987775758,0.012819726705504086,0.02762800751281315,0.019752842772100713,0.0,0.0007560564097666571,0.0006605545474803426,0.0,1.5916977047719096e-05,0.0,0.0007083054786234998,0.0005173017540508706,6.366790819087638e-05,0.0003262980294782415,0.0009948110654824436,0.00011141883933403368,0.0014325279342947187
Brant County Health Unit,Brant County Health Unit,3527.0,139668.0,0.08439051296194153,0.0163,0.022850000000000002,0.0206,0.0046,0.0417,0.1004,0.049,0.0714,0.0445,0.0004,0.016292250909299207,0.013825466821319146,0.017373329610218508,0.012814020391213456,0.01725798464931123,0.07832929446974274,0.019087923504310225,0.018173735572930092,0.03788732565798899,4.548071140132314e-05,0.00042959017097688807,0.00030071311968382164,0.0,0.0,0.0,0.0003078729558667698,0.00024343443022023655,0.00012887705129306643,0.00014319672365896267,0.0005584672222699545,2.8639344731792535e-05,0.0007303032906607097
"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark District Health Unit",3543.0,171222.0,0.027636594663278273,0.0017,0.0259,0.0197,0.0038,0.05055,0.114,0.0797,0.0865,0.0448,0.0034,0.00324223814696709,0.009131377977129112,0.01029766443564494,0.004943739122309053,0.008670628190302633,0.047453258927007115,0.024554497085654926,0.02950409702024272,0.024923759797222285,0.00040928210159909347,0.0012206375348962166,0.0006132389529382907,0.0,5.8403709803646725e-06,0.0,0.0010687878894067352,0.00037378374274333904,0.00013432853254838746,0.00027449743607713963,0.0013316045835231453,0.00023361483921458692,0.001839716858814872
Porcupine Health Unit,Porcupine Health Unit,3556.0,82838.0,0.0,0.0027,0.0216,0.0174,0.00885,0.035100000000000006,0.099,0.0709,0.0787,0.02615,,0.007138393008039796,0.009527581544701706,0.011464501798691419,0.00946633791255222,0.014205670103092786,0.0780987916173737,0.03313983558270358,0.0330788551148024,0.01595951133537748,0.0,0.00037422438977280956,0.0003380091262464086,0.0,0.0,0.0,0.0003380091262464086,0.00022936333566720587,7.243052705280186e-05,0.00012071754508800308,0.0005432289528960139,4.8287018035201235e-05,0.0007122335160192182
Renfrew County and District Health Unit,Renfrew County and District Health Unit,3557.0,100667.0,0.0,0.0015,0.023,0.01925,0.0016,0.0339,0.0828,0.0542,0.06895,0.027,,0.003543222704560592,0.0077493736775706,0.009967261366684212,0.004806695342068403,0.011190260959400799,0.038652405455611126,0.02089876821599928,0.019600816553587558,0.01407040241588603,0.0,0.0001192049032950222,3.97349677650074e-05,0.0,0.0,0.0,2.980122582375555e-05,2.980122582375555e-05,3.97349677650074e-05,1.98674838825037e-05,0.00012913864523627405,9.93374194125185e-06,0.0001589398710600296
Sudbury and District Health Unit,Sudbury and District Health Unit,3561.0,193636.0,0.06088173547935619,0.0017,0.0157,0.0175,0.0011,0.0354,0.0786,0.0813,0.0753,0.0341,0.0043,0.01047967629986163,0.0082822032060154,0.01078853880476771,0.006034334524571904,0.007916632237807027,0.04845413714391955,0.02478691927120992,0.02205541634819972,0.027999499576525044,0.003680071371026054,0.00017042285525418826,0.00012394389473031875,0.0,0.0,0.0,8.779359210064245e-05,8.262926315354583e-05,0.00010328657894193229,5.1643289470966145e-05,0.00023755913156644427,5.164328947096614e-06,0.000294366749984507
Grey Bruce Health Unit,Grey Bruce Health Unit,3533.0,165266.0,0.0,0.0009,0.01625,0.02275,0.0036,0.0373,0.0582,0.0463,0.091,0.0315,,0.003377674173756239,0.00861847506444156,0.014731297423547484,0.004520761681168536,0.011299318674137446,0.027340804521196162,0.01025529025933949,0.032768881681652644,0.016883306911282408,0.0,0.0003025425677392809,0.0001633729865792117,0.0,0.0,0.0,0.00010891532438614113,0.0002299323514818535,6.050851354785618e-05,0.00015127128386964046,0.00031464427044885216,0.0,0.0004659155543184926
Haldimand-Norfolk Health Unit,Haldimand-Norfolk Health Unit,3534.0,109378.0,0.0,0.0016,0.027749999999999997,0.0171,0.0028,0.04685,0.0702,0.0573,0.0814,0.0448,,0.004020815886192841,0.007321503410192179,0.009457805043061662,0.006676721095649938,0.009010457313170838,0.03115634954012689,0.015972954341823765,0.029895776115855113,0.020488381575819656,0.0,0.0011428257967781455,0.00046627292508548337,0.0,9.142606374225164e-06,0.0,0.0003565616485947814,0.0009416884565451919,5.485563824535098e-05,0.0001279964892391523,0.0012433944668946222,0.00024685037210407944,0.001618241328237854
"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit",3535.0,186198.0,0.004165581879718824,0.0005,0.0268,0.0185,0.0027,0.035,0.0692,0.049,0.0887,0.029650000000000003,0.0,0.0043179421905713165,0.008812778869805263,0.005525692005284698,0.00561438200195491,0.008469849300207314,0.028962963619372936,0.007562459317500727,0.02120793456428104,0.012953502185845166,5.102095618642521e-07,0.0005639158315341733,0.0002846432292505827,0.0,0.0,0.0,0.00018797194384472443,0.0004618739191613229,0.00014500692810878743,9.667128540585829e-05,0.0006498458630060473,0.0001020419123728504,0.0008485590607847561
