DBUID,DBRPLAMX,DBRPLAMY,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,FEDUID,FEDNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,DAUID,HR_UID,ENG_LABEL,FRE_LABEL,Shape_Leng,Shape_Area
"35360381002",6998408.73953000,767310.85010500,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35362000","35360381","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382001",6992510.96906500,765229.14102500,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382002",6992780.51278000,765676.37458500,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382003",6991345.77357001,765595.56147001,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382004",6993270.52846000,764693.23711000,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382005",6999057.32425500,762197.51849001,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382006",7000168.71527000,761277.74132501,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382007",6998060.50106000,760950.67820000,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382008",7001291.74919500,760363.07121500,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
"35360382009",6999728.67487001,757978.72559500,"35",Ontario,"3536",Chatham-Kent,CDR,"3536020",Chatham-Kent,"3536020",Chatham-Kent,MU,"3570",Windsor--Sarnia,"35048",Lambton--Kent--Middlesex,"556","3","556","35556",Chatham-Kent,D,,,"35360003","35360382","3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981
