,LTC Home,City,Beds,Resident Deaths
0,Allendale,Milton,200,0
1,Arbour Creek Long-Term Care Centre,Hamilton,129,0
2,Avalon Retirement Centre,Orangeville,137,0
3,Banwell Gardens Care Centre,Tecumseh,142,0
4,Bay Ridges,Pickering,124,0
5,Belmont House,Toronto,140,0
6,Belmont Long Term Care Facility,Belleville,128,0
7,Bendale Acres,Scarborough,302,0
8,Berkshire Care Centre,Windsor,231,0
9,Bethany Lodge,Markham,128,<5
10,Blackadar Continuing Care Centre,Dundas,80,0
11,Blue Water Rest Home,Zurich,65,0
12,Bonnechere Manor,Renfrew,180,0
13,Bradford Valley Care Community,Bradford,246,12
14,Braemar Retirement Centre,Wingham,69,0
15,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144,0
16,Carefree Lodge,North York,127,0
17,Caressant Care Courtland,Courtland,55,0
18,Caressant Care Fergus Nursing Home,Fergus,87,0
19,Caressant Care Lindsay Nursing Home,Lindsay,124,0
20,Caressant Care on Bonnie Place,St Thomas,116,0
21,Case Manor Care Community,Bobcaygeon,96,0
22,Cassellholme,North Bay,240,0
23,Cawthra Gardens,Mississauga,192,0
24,Cedarvale Terrace,Toronto,218,0
25,Centre d'Accueil Champlain,Vanier,160,0
26,Centre d'Accueil Roger Seguin,Clarence Creek,113,0
27,Chartwell Aurora Long Term Care Residence,Aurora,235,11
28,Chartwell Elmira Long Term Care Residence,Elmira,48,0
29,Chartwell Trilogy Long Term Care Residence,Scarborough,197,0
30,Chartwell Waterford Long Term Care Residence,Oakville,168,0
31,Chartwell Woodhaven Long Term Care Residence,Markham,192,0
32,Chartwell Wynfield Long Term Care Residence,Oshawa,172,0
33,Clarion Nursing Home,Stoney Creek,100,0
34,Copernicus Lodge,Toronto,228,0
35,Country Terrace,Komoka,120,0
36,Country Village Homes - Woodslee,Woodslee,104,18
37,Cummer Lodge,North York,391,<5
38,Dom Lipa,Etobicoke,66,0
39,Douglas H. Rapelje Lodge,Welland,120,0
40,Dufferin Oaks,Shelburne,160,0
41,Dundurn Place Care Centre,Hamilton,201,<5
42,Eagle Terrace,Newmarket,70,<5
43,Earls Court Village,London,128,0
44,Ehatare Nursing Home,Scarborough,32,0
45,Elm Grove Living Centre,Toronto,126,18
46,Elmwood Place,London,90,0
47,Exeter Villa,Exeter,47,0
48,Extendicare Hamilton,Hamilton,160,0
49,Extendicare Lakefield,Lakefield,100,0
50,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256,0
51,Extendicare Oshawa,Oshawa,175,0
52,Extendicare Rouge Valley,Toronto,192,0
53,Extendicare Starwood,Nepean,192,0
