,LTC Home,City,Beds,Resident Deaths
0,"Albright Gardens Homes, Incorporated",Beamsville,231,0
1,Allendale,Milton,200,0
2,Bay Ridges,Pickering,124,0
3,Belmont Long Term Care Facility,Belleville,128,0
4,Caressant Care Fergus Nursing Home,Fergus,87,0
5,Caressant Care on Bonnie Place,St Thomas,116,0
6,Case Manor Care Community,Bobcaygeon,96,0
7,Centre d'Accueil Roger Seguin,Clarence Creek,113,0
8,Chartwell Elmira Long Term Care Residence,Elmira,48,0
9,Chelsey Park,London,247,0
10,Clarion Nursing Home,Stoney Creek,100,0
11,Douglas H. Rapelje Lodge,Welland,120,0
12,Ehatare Nursing Home,Scarborough,32,0
13,Extendicare Lakefield,Lakefield,100,0
14,Extendicare Rouge Valley,Toronto,192,0
15,Extendicare Timmins,Timmins,180,0
16,Fairview Lodge,Whitby,198,0
17,Garden City Manor,St. Catharines,200,0
18,Grace Villa Nursing Home,Hamilton,184,0
19,Hallowell House,Picton,97,0
20,Hampton Terrace Care Centre,Burlington,101,0
21,Hillsdale Terraces,Oshawa,200,13
22,Hillside Manor,Stratford,90,0
23,IOOF Seniors Home,Barrie,182,0
24,Lakeview Manor,Beaverton,149,0
25,Lambton Meadowview Villa,Petrolia,125,0
26,Macassa Lodge,Hamilton,270,0
27,Maple View,Owen Sound,29,0
28,Miramichi Lodge,Pembroke,166,0
29,Moira Place Long-Term Care Home,Tweed,128,0
30,Mount Hope Centre for Long Term Care,London,394,0
31,Northridge,Oakville,133,0
32,Norview Lodge,Simcoe,179,0
33,Providence Healthcare,Scarborough,288,<5
34,Providence Manor,Kingston,243,0
35,Riverside Place,Windsor,96,0
36,Riverview Manor Nursing Home,Peterborough,124,0
37,Rosebridge Manor,Jasper,78,0
38,Saint Luke's Place,Cambridge,114,0
39,Shalom Manor Long Term Care Home,Grimsby,144,0
40,Shepherd Lodge,Toronto,252,0
41,Spencer House,Orillia,160,0
42,Sprucedale Care Centre,Strathroy,96,0
43,St. Andrew's Terrace Long Term Care Community,Cambridge,128,0
44,"St. Joseph's Villa, Dundas",Dundas,425,0
45,Stirling Heights,Cambridge,110,0
46,Sumac Lodge,Sarnia,100,0
47,Tendercare Living Centre,Scarborough,254,<5
48,The Wexford,Scarborough,166,0
49,The Woodlands of Sunset,Welland,121,0
50,Villa Marconi,Ottawa,128,0
51,Wellington Terrace Long-Term Care Home,Fergus,176,0
52,Westside,Etobicoke,242,<5
53,Winbourne Park,Ajax,110,0
54,Woods Park Care Centre,Barrie,123,0
55,Yee Hong Centre - Markham,Markham,200,0
56,Yee Hong Centre - Scarborough McNicoll,Scarborough,155,0
