,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases
0,Almonte Country Haven,Almonte,82,<5,26,13
1,Altamont Care Community,Scarborough,159,72,46,60
2,Anson Place Care Centre,Hagersville,61,28,23,29
3,Avalon Retirement Centre,Orangeville,137,0,0,<5
4,Belmont House,Toronto,140,0,0,<5
5,Bendale Acres,Scarborough,302,0,0,<5
6,Berkshire Care Centre,Windsor,231,0,0,<5
7,Bethany Lodge,Markham,128,<5,<5,<5
8,Blue Water Rest Home,Zurich,65,<5,0,0
9,Bradford Valley Care Community,Bradford,246,8,10,<5
10,Braemar Retirement Centre,Wingham,69,0,0,<5
11,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144,0,0,<5
12,Burton Manor,Brampton,128,11,8,14
13,Camilla Care Community,Mississauga,236,152,48,44
14,Carefree Lodge,North York,127,<5,0,0
15,Caressant Care Courtland,Courtland,55,0,0,<5
16,Caressant Care Lindsay Nursing Home,Lindsay,124,<5,0,<5
17,Carlingview Manor,Ottawa,303,93,39,61
18,Cassellholme,North Bay,240,<5,0,0
19,Castleview Wychwood Towers,Toronto,456,0,0,<5
20,Cedarvale Terrace,Toronto,218,0,0,<5
21,Centre d'Accueil Champlain,Vanier,160,0,0,<5
22,Chartwell Aurora Long Term Care Residence,Aurora,235,32,10,8
23,Chartwell Ballycliffe Long Term Care Residence,Ajax,100,13,28,31
24,Chartwell Gibson Long Term Care Residence,North York,202,31,9,10
25,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96,0,0,<5
26,Chartwell Waterford Long Term Care Residence,Oakville,168,<5,0,<5
27,Chartwell Westbury Long Term Care Residence,Etobicoke,187,61,20,23
28,Chartwell Westmount Long Term Care Residence,Kitchener,160,<5,0,0
29,Chartwell White Eagle Long Term Care Residence,Toronto,56,26,11,9
30,Chartwell Woodhaven Long Term Care Residence,Markham,192,0,0,<5
31,Cooksville Care Centre,Mississauga,192,40,6,17
32,Copernicus Lodge,Toronto,228,0,0,<5
33,Country Village Homes - Woodslee,Woodslee,104,0,19,<5
34,Craiglee Nursing Home,Scarborough,169,<5,<5,7
35,Cummer Lodge,North York,391,<5,<5,0
36,Dom Lipa,Etobicoke,66,<5,0,0
37,Downsview Long Term Care Centre,North York,252,35,23,71
