index,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
0,AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,"Sarnia, N7S6L6",Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Sarnia, N7S6L6,128.0,67.0,"(46.0, 172.0]",3.0,34.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,afton park place long term care community,,,,,,,,
1,"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,"Beamsville, L0R1B2",Hamilton Niagara Haldimand Brant (Hnhb),"Albright Gardens Homes, Incorporated",,Non-Profit,Home with approximately 231 beds,No,Yes,Yes,No,,Beamsville, L0R1B2,231.0,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,"albright gardens homes, incorporated",0.0,"Albright Gardens Homes, Incorporated",Beamsville,231.0,,0,,Inactive
2,ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,"Waterdown, L0R2H0",Hamilton Niagara Haldimand Brant (Hnhb),Waterdown Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,128.0,28.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,alexander place,,,,,,,,
4,ALGOMA MANOR NURSING HOME,145 Dawson Street,"Thessalon, P0R1L0",North East,Algoma Manor Nursing Home,,,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,96.0,23.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,algoma manor nursing home,,,,,,,,
5,ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,"Mattawa, P0H1V0",North East,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Home with approximately 73 beds,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,73.0,23.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,algonquin nursing home,,,,,,,,
6,ALLENDALE,185 Ontario Street South,"Milton, L9T2M4",Mississauga Halton,The Regional Municipality Of Halton,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Milton, L9T2M4,200.0,38.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,15.0,"(11.0, 44.0]",3.0,allendale,1.0,Allendale,Milton,200.0,,0,,Inactive
7,ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,"Almonte, K0A1A0",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 82 beds,No,Yes,Yes,Yes,,Almonte, K0A1A0,82.0,49.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,almonte country haven,0.0,Almonte Country Haven,Almonte,82.0,<5,28,13,Active
8,ALTAMONT CARE COMMUNITY,92 Island Road,"Scarborough, M1C2P5",Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,159.0,33.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,altamont care community,1.0,Altamont Care Community,Scarborough,159.0,72,46,60,Active
9,ANSON PLACE CARE CENTRE,85 Main Street North,"Hagersville, N0A1H0",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 61 beds,Yes,Yes,No,Yes,,Hagersville, N0A1H0,61.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,anson place care centre,2.0,Anson Place Care Centre,Hagersville,61.0,28,23,29,Active
10,ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,"Hamilton, L8G1J3",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Gp Inc.,,For-Profit,Home with approximately 129 beds,No,Yes,No,No,,Hamilton, L8G1J3,129.0,60.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,14.0,"(11.0, 44.0]",3.0,arbour creek long-term care centre,3.0,Arbour Creek Long-Term Care Centre,Hamilton,129.0,0,0,<5,Active
