LHIN,home type,short stay,total_inspections,2y_inspections,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,lat,long
Erie St. Clair,For-Profit,No,67,9,afton park place long term care community,,,,,128,42.98,-82.36
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,20,4,the meadows,,,,,128,43.21,-80.01
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,28,8,alexander place,,,,,128,43.34,-79.9
North East,,Yes,23,7,algoma manor nursing home,,,,,96,46.26,-83.56
North East,Non-Profit,Yes,23,5,algonquin nursing home,,,,,73,46.31,-78.72
Mississauga Halton,Municipal,No,38,15,allendale,,0,,Inactive,200,43.52,-79.87
Champlain,For-Profit,No,49,10,almonte country haven,<5,28,13,Active,82,45.22,-76.19
Central East,For-Profit,Yes,33,12,altamont care community,72,46,60,Active,159,43.8,-79.14
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,22,6,anson place care centre,28,23,29,Active,61,42.97,-80.05
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,60,14,arbour creek long-term care centre,0,0,<5,Active,129,43.22,-79.78
South East,For-Profit,No,70,13,arbour heights,,,,,174,44.24,-76.56
North West,Non-Profit,No,11,4,atikokan general hospital,,,,,26,48.75,-91.6
North East,Municipal,Yes,47,13,au chateau,,,,,162,46.37,-79.92
Central West,For-Profit,Yes,30,10,avalon retirement centre,0,0,<5,Active,137,43.92,-80.12
South West,For-Profit,No,32,10,babcock community care centre,,,,,60,42.66,-81.76
Erie St. Clair,For-Profit,Yes,74,16,banwell gardens care centre,,,,,142,42.31,-82.9
Waterloo Wellington,For-Profit,No,17,3,barnswallow place care community,,,,,96,43.59,-80.58
North Simcoe Muskoka,For-Profit,No,14,6,bay haven nursing home,,,,,60,44.5,-80.2
Central East,For-Profit,No,53,12,bay ridges,,0,,Inactive,124,43.83,-79.08
Champlain,For-Profit,No,22,4,bayfield manor,,,,,66,45.02,-75.65
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,46,11,baywoods place,,,,,128,43.25,-79.86
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,39,15,"albright gardens homes, incorporated",,0,,Inactive,231,43.15,-79.48
Toronto Central,Non-Profit,No,13,6,belmont house,,0,,Inactive,140,43.67,-79.39
South East,For-Profit,No,35,8,belmont long term care facility,,0,,Inactive,128,44.16,-77.4
North East,Municipal,No,40,13,belvedere heights,,,,,101,45.34,-80.04
Central East,Municipal,Yes,35,10,bendale acres,0,0,0,Active,302,43.75,-79.25
Mississauga Halton,Non-Profit,No,24,6,bennett health care centre,,,,,66,43.64,-79.93
Erie St. Clair,For-Profit,No,172,25,berkshire care centre,0,0,<5,Active,231,42.32,-83.04
North West,Non-Profit,No,35,19,bethammi nursing home,,,,,110,48.44,-89.24
Central,Non-Profit,No,16,4,bethany lodge,<5,<5,<5,Active,128,43.86,-79.3
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,24,8,billings court manor,,,,,160,43.36,-79.79
North West,For-Profit,Yes,53,14,birchwood terrace,,,,,96,49.77,-94.5
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,31,9,blackadar continuing care centre,<5,0,0,Active,80,43.26,-79.97
Erie St. Clair,For-Profit,No,33,5,blenheim community village,,,,,65,42.34,-81.99
Central,For-Profit,Yes,39,11,bloomington cove care community,,,,,112,44,-79.26
South West,Non-Profit,No,21,4,blue water rest home,<5,0,0,Active,65,43.42,-81.64
North Simcoe Muskoka,Non-Profit,No,35,7,bob rumball home for the deaf,,,,,64,44.36,-79.62
South West,Municipal,Yes,19,2,bobier villa,,,,,57,42.67,-81.51
North East,Non-Profit,No,12,2,north shore health network â€“ eldcap unit,,,,,10,46.19,-82.92
Champlain,Municipal,Yes,43,11,bonnechere manor,0,0,<5,Active,180,45.48,-76.7
Central,For-Profit,No,40,8,bradford valley care community,<5,11,0,Active,246,44.1,-79.57
South West,For-Profit,No,39,6,braemar retirement centre,0,0,0,Active,69,43.9,-81.3
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,55,9,brierwood gardens,,,,,79,43.18,-80.25
South East,For-Profit,No,31,10,broadview nursing centre,,,,,75,44.89,-76.02
Erie St. Clair,For-Profit,No,33,4,brouillette manor,,,,,60,42.31,-82.89
South West,Municipal,No,79,17,brucelea haven long term care home - corporation of the county of bruce,0,0,<5,Active,144,44.12,-81.15
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,22,6,burloak,,,,,144,43.38,-79.74
Central East,For-Profit,No,28,5,burnbrae gardens long term care residence,,,,,43,44.28,-77.85
Central West,For-Profit,No,27,6,burton manor,11,8,14,Active,128,43.66,-79.77
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,16,2,cama woodlands nursing home,,,,,134,43.31,-79.87
Waterloo Wellington,For-Profit,No,35,8,cambridge country manor,,,,,80,43.46,-80.36
Mississauga Halton,For-Profit,Yes,52,10,camilla care community,152,48,44,Active,236,43.57,-79.61
Central,Municipal,No,18,7,carefree lodge,<5,0,0,Active,127,43.79,-79.39
Waterloo Wellington,For-Profit,No,65,9,caressant care arthur nursing home,,,,,80,43.83,-80.53
Champlain,For-Profit,No,116,24,caressant care bourget,,,,,60,45.44,-75.16
North East,Non-Profit,No,15,3,north shore health network â€“ ltc unit,,,,,22,46.19,-82.92
South West,For-Profit,No,33,8,caressant care courtland,0,0,<5,Active,55,42.83,-80.63
Waterloo Wellington,For-Profit,No,68,26,caressant care fergus nursing home,,0,,Inactive,87,43.71,-80.37
Central East,For-Profit,Yes,21,5,bon air long term care residence,,,,,57,44.35,-79.04
Central East,For-Profit,No,49,12,caressant care lindsay nursing home,<5,0,<5,Active,124,44.34,-78.75
South West,For-Profit,Yes,28,4,caressant care listowel nursing home,,,,,52,43.72,-80.95
South East,For-Profit,No,47,15,caressant care marmora,,,,,84,44.48,-77.68
South West,For-Profit,No,87,15,caressant care on bonnie place,,0,,Inactive,116,42.77,-81.16
